Produto;Marca;Index
TUCUPI PRETO 40g  Lote 281020 Lote 64335 Val 16/01/21;Manioca;276
01 - Chocolate Nakau 54% Cacau 40g;Nakau;277
02 - Chocolate Nakau 63% Cacau 40g;Nakau;278
03 - Chocolate Nakau 72% Cacau 40g;Nakau;279
04 - Chocolate Nakau 81% Cacau 40g;Nakau;280
05 - Chocolate Nakau 63% Cacau com Cafe Apui 40g;Nakau;281
06 - Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;Nakau;282
07 - Chocolate Nakau 72% Cacau com Cupuacu 43g;Nakau;283
16 - Chocolate Nakau 72% Cacau com Pimenta Baniwa 5g;Nakau;284
17 - Chocolate Nakau 54% Cacau 80g;Nakau;285
Chocolate  54% Cacau - 40g- Nakau;Nakau;286
Chocolate  63% Cacau - 80g - Nakau;Nakau;287
Chocolate  63% Cacau - 80g- Nakau;Nakau;288
Chocolate 54% Cacau - 40g -  Nakau;Nakau;289
Chocolate 54% Cacau - 80g - Nakau;Nakau;290
Chocolate 63% Cacau com Cafe Apui 80g - Nakau;Nakau;291
Chocolate 63% Cacau com Castanha da Amazonia - 43g-  Nakau;Nakau;292
Chocolate 72% Cacau com Cupuacu  - 43g - Nakau;Nakau;293
Chocolate 72% Cacau com Cupuacu - 43g- Nakau;Nakau;294
Chocolate 72% Cacau com Pimenta Baniwa - 40g - Nakau;Nakau;295
Chocolate Nakau 54% Cacau 40g;Nakau;296
Chocolate Nakau 54% Cacau 80g;Nakau;297
Chocolate Nakau 54% Cacau ao Leite de Coco 5g;Nakau;298
Chocolate Nakau 63% Cacau 40g;Nakau;299
Chocolate Nakau 63% Cacau 80g;Nakau;300
Chocolate Nakau 63% Cacau ao Leite de Coco 5g;Nakau;301
Chocolate Nakau 63% Cacau ao Leite de Coco com Cafe Apui 5g;Nakau;302
Chocolate Nakau 63% Cacau ao Leite de Coco com Castanha da Amazonia 5g;Nakau;303
Chocolate Nakau 63% Cacau com Cafe Apui 40g;Nakau;304
Chocolate Nakau 63% Cacau com Cafe Apui 80g;Nakau;305
Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;Nakau;306
Chocolate Nakau 63% Cacau com Castanha da Amazonia 5g;Nakau;307
Chocolate Nakau 63% Cacau com Castanha da Amazonia 80g;Nakau;308
Chocolate Nakau 72% Cacau 40g;Nakau;309
Chocolate Nakau 72% Cacau 5g;Nakau;310
Chocolate Nakau 72% Cacau 80g;Nakau;311
Chocolate Nakau 72% Cacau com Cupuacu 43g;Nakau;312
Chocolate Nakau 72% Cacau com Cupuacu 5g;Nakau;313
Chocolate Nakau 72% Cacau com Cupuacu 80g;Nakau;314
Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;Nakau;315
Chocolate Nakau 72% Cacau com Pimenta Baniwa 80g;Nakau;316
Chocolate Nakau 81% Cacau 40g;Nakau;317
Chocolate Nakau 81% cacau 5g;Nakau;318
Chocolate Nakau 81% Cacau 80g;Nakau;319
